0
112.4,43.8,-1.1
112.4,43.8,-1.1
111.5,45.9,-3.7
118.5,46.3,-3.5
105.9,48.0,-1.5
111.5,48.9,-1.3
112.0,49.7,-2.5
110.6,49.3,-2.2
112.0,49.3,-1.4
108.2,49.4,-1.5
106.8,48.9,-0.7
102.1,49.0,0.2
113.9,48.3,0.4
113.4,50.4,0.0
111.5,51.1,-0.7
113.4,51.1,-2.7
113.9,43.5,-5.8
118.5,39.6,-10.1
123.2,38.5,-8.6
122.3,38.8,-8.7
119.5,38.3,-8.1
118.5,37.8,-7.7
120.4,38.3,-8.1
121.4,39.3,-7.7
121.4,39.3,-7.7
114.3,38.3,-8.0
115.7,37.5,-7.9
120.9,38.5,-7.3
118.1,39.4,-6.6
114.8,41.7,-5.9
119.5,42.3,-8.5
110.6,45.5,-7.7
111.5,47.4,-5.1
116.7,49.2,-4.4
117.6,49.8,-4.7
119.5,52.1,-6.4
115.3,52.6,-6.0
112.0,53.1,-6.0
116.7,53.8,-5.7
118.1,53.5,-4.8
112.4,53.9,-4.0
114.3,52.8,-3.7
115.3,52.0,-4.7
113.9,51.4,-4.2
112.9,50.8,-5.5
112.9,50.4,-5.1
115.7,49.8,-7.1
115.7,49.8,-7.1
116.2,51.5,-6.3
111.5,51.3,-8.0
113.4,50.9,-10.0
112.0,51.7,-6.3
111.5,51.0,-6.1
115.3,50.4,-5.2
109.2,48.6,-3.5
109.6,47.6,-4.1
1
86.4,35.5,24.8
91.1,38.9,24.0
86.8,40.7,23.2
88.2,43.3,22.0
86.4,43.3,21.7
88.2,44.9,22.3
91.8,46.2,21.6
85.9,46.4,22.5
90.1,46.3,22.0
89.9,47.0,22.2
90.4,45.2,22.0
90.4,45.2,22.0
91.8,44.1,21.2
91.5,45.7,20.5
89.5,46.1,20.3
89.5,46.7,20.0
84.0,45.4,21.9
90.1,47.5,20.1
83.6,48.9,20.5
86.8,50.0,20.7
88.2,50.0,19.5
83.6,50.3,20.8
83.6,51.2,21.4
89.7,51.7,20.9
83.6,53.8,21.6
89.5,53.4,21.4
90.4,52.2,21.4
86.8,50.2,22.0
89.5,50.8,21.9
92.3,50.3,21.6
82.1,49.8,23.2
81.2,49.3,24.2
84.5,49.8,25.3
85.0,46.3,25.5
85.0,46.3,25.5
84.5,47.5,24.3
81.2,48.3,24.7
81.7,48.5,24.5
82.6,44.0,18.4
85.4,46.0,19.0
85.4,47.4,19.5
82.1,48.9,19.8
92.3,47.5,20.6
92.0,45.9,20.6
2
64.3,43.9,48.9
65.7,43.0,49.6
68.5,44.0,50.1
66.2,43.8,49.8
64.8,43.9,50.1
58.2,44.3,51.9
58.2,44.3,51.9
69.5,44.8,50.9
62.9,46.0,51.7
63.9,46.6,52.4
61.0,47.1,54.1
65.7,49.0,52.3
62.0,49.5,51.7
63.9,49.9,50.4
61.5,49.7,50.4
54.5,50.4,52.5
55.9,53.8,54.0
51.7,56.3,55.0
62.4,53.1,54.6
62.0,50.6,55.0
61.0,50.0,55.1
56.3,48.2,56.1
60.6,46.6,56.8
64.3,44.9,56.4
62.4,44.1,55.2
59.6,43.5,56.5
58.2,42.7,55.8
54.9,46.9,55.4
60.6,48.2,53.8
61.5,48.5,53.7
61.5,48.5,53.7
57.8,49.6,54.6
56.3,51.4,53.1
54.9,52.3,54.2
61.0,50.8,54.1
62.0,49.0,54.7
63.9,46.6,54.7
62.4,45.9,53.5
63.9,47.4,53.1
65.7,47.7,52.2
65.3,47.9,53.6
3
29.1,51.7,82.9
31.5,51.7,83.9
35.7,51.5,84.9
34.3,49.4,84.0
26.3,47.9,84.0
27.3,48.4,84.5
28.2,47.5,83.9
38.1,46.8,83.7
32.0,47.7,85.0
26.8,47.6,84.2
32.9,45.6,83.2
25.4,47.5,84.7
30.1,46.7,84.7
29.1,54.8,83.9
21.6,56.9,81.2
30.6,56.5,82.4
30.6,56.5,82.4
23.5,55.9,82.5
22.1,55.8,81.0
32.4,56.0,80.2
21.6,56.3,81.7
22.1,56.7,83.1
23.0,56.9,83.1
29.6,56.2,82.7
32.9,57.5,82.9
26.8,57.4,83.2
29.6,58.0,82.4
27.3,58.5,81.3
25.9,56.5,82.5
24.5,56.1,85.1
24.5,55.1,85.2
