1747402680.348326,0.5
1747402733.9172194,0.75,1
1747402734.3181937,0.75,0
1747402734.6189845,0.75,1
1747402735.0195446,0.75,0
1747402735.1204104,0.75,1
1747402735.4261403,0.75,0
1747402735.8419652,0.75,1
1747402736.242667,0.75,0
1747402736.4436204,0.75,1
1747402736.6440322,0.75,0
1747402737.050326,0.75,1
1747402737.2506175,0.75,0
1747402737.7517154,0.75,1
1747402738.2978542,0.75,0
1747402738.398728,0.75,1
1747402738.5991194,0.75,0
1747402738.6999614,0.75,1
1747402739.0005243,0.75,0
1747402739.2014863,0.75,1
1747402739.5070558,0.75,0
1747402739.8078685,0.75,1
1747402739.9080703,0.75,0
1747402740.20893,0.75,1
1747402740.5094786,0.75,0
1747402740.7104778,0.75,1
1747402741.1109962,0.75,0
1747402741.3116963,0.75,1
1747402741.4119008,0.75,0
1747402742.0168524,0.75,1
1747402742.4174852,0.75,0
1747402742.5183072,0.75,1
1747402742.7186887,0.75,0
1747402743.3251438,0.75,1
1747402743.4253755,0.75,0
1747402743.8265836,0.75,1
1747402744.22724,0.75,0
1747402744.4295118,0.75,1
1747402744.5393717,0.75,0
1747402744.8404675,0.75,1
1747402745.0408967,0.75,0
1747402745.3419425,0.75,1
1747402745.5423608,0.75,0
1747402745.6431494,0.75,1
1747402746.0451643,0.75,0
1747402746.3459482,0.75,1
1747402746.546294,0.75,0
1747402746.9560862,0.75,1
1747402747.25667,0.75,0
1747402747.5574687,0.75,1
1747402748.058201,0.75,0
1747402748.159058,0.75,1
1747402748.665086,0.75,0
1747402748.9659078,0.75,1
1747402749.2663157,0.75,0
1747402749.3671296,0.75,1
1747402749.6837022,0.75,0
1747402749.9848104,0.75,1
1747402750.2853525,0.75,0
1747402750.3862042,0.75,1
1747402750.887043,0.75,0
1747402751.2984579,0.75,1
1747402751.4994628,0.75,0
1747402751.7001698,0.75,1
1747402751.900516,0.75,0
1747402752.1014652,0.75,1
1747402752.4020658,0.75,0
1747402753.0031242,0.75,1
1747402753.1033964,0.75,0
1747402753.4095347,0.75,1
1747402753.6099322,0.75,0
1747402753.9108548,0.75,1
1747402754.1112306,0.75,0
1747402754.2119648,0.75,1
1747402754.6127646,0.75,0
1747402755.2228956,0.75,1
1747402755.423203,0.75,0
1747402755.5238771,0.75,1
1747402755.8244488,0.75,0
1747402756.0887632,0.75,1
1747402756.5027382,0.75,0
1747402756.8035965,0.75,1
1747402757.1041656,0.75,0
1747402757.2051194,0.75,1
1747402757.5058477,0.75,0
1747402757.7066433,0.75,1
1747402757.8068526,0.75,0
1747402758.307946,0.75,1
1747402758.4082105,0.75,0
1747402758.9167705,0.75,1
1747402759.1171665,0.75,0
1747402759.31807,0.75,1
1747402759.618607,0.75,0
1747402759.924824,0.75,1
1747402760.325618,0.75,0
1747402760.4264317,0.75,1
1747402760.8271976,0.75,0
1747402760.9280121,0.75,1
1747402761.2513857,0.75,0
1747402761.3574963,0.75,1
1747402761.6579049,0.75,0
1747402761.9588306,0.75,1
1747402762.2593763,0.75,0
1747402762.7658691,0.75,1
1747402762.8661075,0.75,0
1747402763.1669605,0.75,1
1747402763.367326,0.75,0
1747402763.4681494,0.75,1
1747402763.8790984,0.75,0
1747402763.9800537,0.75,1
1747402764.280643,0.75,0
1747402764.3816242,0.75,1
1747402764.5822906,0.75,0
1747402764.7833898,0.75,1
1747402765.1895049,0.75,0
1747402765.4908764,0.75,1
1747402765.9918,0.75,0
1747402766.1928988,0.75,1
1747402766.601989,0.75,0
1747402766.8028545,0.75,1
1747402767.203576,0.75,0
1747402767.4047625,0.75,1
1747402767.6055012,0.75,0
1747402767.9066575,0.75,1
1747402768.2072153,0.75,0
1747402768.4080527,0.75,1
1747402768.8123617,0.75,0
1747402769.1177187,0.75,1
1747402769.5182164,0.75,0
1747402769.61898,0.75,1
1747402769.8194187,0.75,0
1747402769.9202747,0.75,1
1747402770.2266788,0.75,0
1747402770.4277508,0.75,1
1747402771.1285734,0.75,0
1747402771.2294044,0.75,1
1747402771.3296556,0.75,0
1747402771.5374043,0.75,1
1747402771.9380789,0.75,0
1747402772.0387068,0.75,1
1747402772.5393887,0.75,0
1747402772.6402142,0.75,1
1747402773.1460545,0.75,0
1747402773.346779,0.75,1
1747402773.7474186,0.75,0
1747402773.8482885,0.75,1
1747402774.249017,0.75,0
1747402774.449718,0.75,1
1747402774.7502797,0.75,0
1747402774.8511152,0.75,1
1747402775.3554418,0.75,0
1747402775.4560852,0.75,1
1747402775.8565948,0.75,0
1747402775.9572325,0.75,1
1747402776.25773,0.75,0
1747402776.5639443,0.75,1
1747402776.8807812,0.75,0
1747402777.2819152,0.75,1
1747402777.6826277,0.75,0
1747402778.189765,0.75,1
1747402778.3900516,0.75,0
1747402778.690864,0.75,1
1747402779.1075468,0.75,0
1747402779.2085047,0.75,1
1747402779.7093885,0.75,0
1747402779.8102605,0.75,1
1747402780.4164338,0.75,0
1747402780.7227607,0.75,1
1747402781.1235726,0.75,0
1747402781.2244399,0.75,1
1747402781.525011,0.75,0
1747402782.2311692,0.75,1
1747402782.5315785,0.75,0
1747402782.8326921,0.75,1
1747402783.033185,0.75,0
1747402783.234074,0.75,1
1747402783.834789,0.75,0
1747402783.9357207,0.75,1
1747402784.136116,0.75,0
1747402784.643569,0.75,1
1747402784.7437668,0.75,0
1747402785.0445673,0.75,1
1747402785.4451609,0.75,0
1747402785.6499977,0.75,1
1747402786.0508153,0.75,0
1747402786.1516416,0.75,1
1747402786.3524923,0.75,0
1747402786.6535664,0.75,1
1747402786.9600706,0.75,0
1747402787.0608425,0.75,1
1747402787.4615786,0.75,0
1747402787.8629062,0.75,1
1747402788.270337,0.75,0
1747402788.3761747,0.75,1
1747402788.8768873,0.75,0
1747402788.9777064,0.75,1
1747402789.27841,0.75,0
1747402789.4794455,0.75,1
1747402789.8800766,0.75,0
1747402789.980693,0.75,1
1747402790.1809788,0.75,0
1747402790.5821378,0.75,1
1747402790.9120395,0.75,0
1747402791.2131453,0.75,1
1747402791.9141772,0.75,0
1747402792.018555,0.75,1
1747402792.32778,0.75,0
1747402792.42852,0.75,1
1747402792.829171,0.75,0
1747402793.1304934,0.75,1
1747402793.531108,0.75,0
1747402793.6318443,0.75,1
1747402794.0323389,0.75,0
1747402794.233289,0.75,1
1747402794.641548,0.75,0
1747402794.7422755,0.75,1
1747402795.5433993,0.75,0
1747402795.744334,0.75,1
1747402796.0482028,0.75,0
1747402796.1491182,0.75,1
1747402796.5496604,0.75,0
1747402796.8504655,0.75,1
1747402797.1541486,0.75,0
1747402797.2645457,0.75,1
1747402797.4700704,0.75,0
1747402797.8712692,0.75,1
1747402798.3721352,0.75,0
1747402798.472899,0.75,1
1747402798.7733195,0.75,0
1747402798.9740837,0.75,1
1747402799.2744944,0.75,0
1747402799.5756047,0.75,1
1747402799.9784462,0.75,0
1747402800.0791955,0.75,1
1747402800.2795942,0.75,0
1747402800.7808733,0.75,1
1747402800.881142,0.75,0
1747402801.1906,0.75,1
1747402801.4910824,0.75,0
1747402801.8922362,0.75,1
1747402802.4047196,0.75,0
1747402802.505867,0.75,1
1747402802.9065568,0.75,0
1747402803.0074193,0.75,1
1747402803.811652,0.75,0
1747402803.9122796,0.75,1
1747402804.212663,0.75,0
1747402804.4134614,0.75,1
1747402804.828968,0.75,0
