1743605354.8513346,0,0,0,0,0,0
1743605376.7780223,0.0,0.0,0.0,0.0,-23.998854,23.998854,8.999140760509114
1743605377.8883786,0.119994,-0.119994,-0.02,-0.069997,-15.556671,15.556671,4.279519192128742
1743605379.1017897,0.237777,-0.057784,0.017935,-0.053097,-13.23421,14.585951,3.524962493286399
1743605380.218349,0.223635,-0.090072,-0.014559,-0.054649,-12.812237,13.775575,3.2513638188578
1743605381.9356644,0.336336,-0.087467,0.013737,-0.055204,-9.485667,10.904641,2.03181735444879
1743605383.0511177,0.327414,-0.082031,-0.01536,-0.044316,-9.874999,11.323747,2.1785978570108124
1743605384.4669874,0.428571,-0.102064,0.004834,-0.047968,-6.73455,8.133837,1.1479100900960315
1743605386.381206,0.43085,-0.089277,-0.016275,-0.035334,-6.985557,8.506178,1.2386632102005073
1743605387.594281,0.511647,-0.11058,-0.002677,-0.038218,-4.67318,5.932465,0.6161597685446868
1743605389.2079399,0.522049,-0.098841,-0.01646,-0.027679,-4.721178,6.073076,0.6377648652433365
1743605392.3236578,0.583439,-0.115028,-0.007902,-0.029139,-3.170951,4.21948,0.31317579900666337
1743605393.737455,0.598714,-0.106152,-0.016151,-0.021377,-3.083502,4.167374,0.3026319319008616
1743605394.850473,0.644392,-0.11642,-0.011045,-0.021684,-2.089828,2.903757,0.14853625753061558
1743605396.3633451,0.661738,-0.110007,-0.015581,-0.016301,-1.942492,2.743332,0.13167895412801287
1743605399.622327,0.69577,-0.115419,-0.012609,-0.015908,-1.317367,1.903565,0.06376549692808628
1743605400.8369896,0.713178,-0.110601,-0.014865,-0.012272,-1.161203,1.704957,0.05089319396764386
1743605402.5497904,0.738974,-0.112565,-0.013105,-0.011556,-0.768997,1.150993,0.023242404470058712
1743605404.4453657,0.755259,-0.108607,-0.014054,-0.009111,-0.630355,0.95783,0.016028513930637325
1743605406.6440053,0.775311,-0.108323,-0.012936,-0.008315,-0.382885,0.591412,0.006108941061365116
1743605408.2560222,0.789931,-0.104757,-0.013174,-0.006655,-0.271385,0.425051,0.003143630832834694
1743605410.1001513,0.80593,-0.103098,-0.012383,-0.00591,-0.114146,0.181332,0.0005711347099599144
1743605411.213182,0.818754,-0.099683,-0.012254,-0.004764,-0.030266,0.04869,4.103085421303883e-05
1743605412.5255086,0.831812,-0.09723,-0.011627,-0.004124,0.069839,-0.113755,0.00022338265162383833
1743605413.7386136,0.842924,-0.093873,-0.01132,-0.003319,0.129587,-0.213478,0.0007839372033582831
1743605415.4747324,0.853776,-0.091,-0.01078,-0.002797,0.192718,-0.320965,0.0017667893135206354
1743605417.0875015,0.863356,-0.087688,-0.010396,-0.002222,0.232988,-0.391984,0.0026260229436280034
1743605418.943976,0.872495,-0.084631,-0.009909,-0.00181,0.271682,-0.461525,0.0036288273783754016
1743605420.0585918,0.880746,-0.081385,-0.009502,-0.001395,0.296958,-0.509042,0.00439959160667121
1743605421.7427971,0.888521,-0.078293,-0.009054,-0.001078,0.319214,-0.551909,0.005155140568969881
1743605422.8548684,0.895634,-0.075144,-0.008651,-0.000777,0.333294,-0.580915,0.005692579980625865
1743605424.0678072,0.902297,-0.072108,-0.008237,-0.000539,0.344353,-0.604786,0.006150612473527887
1743605425.380942,0.908443,-0.069086,-0.007852,-0.000321,0.350249,-0.619574,0.00643488035751762
1743605426.7943692,0.914187,-0.066163,-0.00747,-0.000144,0.353656,-0.629862,0.006630271317282885
1743605428.0064895,0.919512,-0.063293,-0.007109,1.2e-05,0.353768,-0.634107,0.006700044983809545
1743605429.9747074,0.924485,-0.060515,-0.006757,0.00014,0.351955,-0.634683,0.006693003304618777
1743605431.4881427,0.929111,-0.057812,-0.006423,0.00025,0.348016,-0.631169,0.006600685389689171
1743605432.6004145,0.933433,-0.055199,-0.006101,0.00034,0.342707,-0.6249,0.006452837362469885
