1747066087.8359885,0.5
1747066091.8421893,0.5,1
1747066097.46881,0.75,0
1747066099.6823742,0.75,1
1747066103.0975573,0.9583333134651184,0
1747066103.5986166,0.9583333134651184,1
1747066104.6050572,1.1319444477558136,0
1747066105.1061296,1.1319444477558136,1
1747066105.7081065,1.2858796268701553,0
1747066106.2090733,1.2858796268701553,1
1747066106.9148088,1.424961395561695,0
1747066107.4157965,1.424961395561695,1
1747066108.116504,1.5498649217188358,0
1747066108.61736,1.5498649217188358,1
1747066109.6183596,1.6617958713322878,0
1747066110.1192563,1.6617958713322878,1
1747066110.8201413,1.7617803299799562,0
1747066111.3212535,1.7617803299799562,1
1747066111.9218159,1.8509294134564698,0
1747066112.4229836,1.8509294134564698,1
1747066113.3672717,1.9303078225348145,0
1747066113.8764322,1.9303078225348145,1
1747066114.7825196,2.0009238506900147,0
1747066115.28336,2.0009238506900147,1
1747066115.983973,2.06370686419541,0
1747066116.523037,2.06370686419541,1
1747066117.6281865,2.1195034927513916,0
1747066118.1290543,2.1195034927513916,1
1747066119.030072,2.16907787056698,0
1747066119.5309272,2.16907787056698,1
1747066120.0312204,2.2131159292257507,0
1747066120.5320742,2.2131159292257507,1
1747066121.3379793,2.2522313588160614,0
1747066121.8388944,2.2522313588160614,1
1747066122.8400042,2.286971687937694,0
1747066123.351089,2.286971687937694,1
1747066123.856473,2.317824542355993,0
1747066124.3573658,2.317824542355993,1
1747066125.1581573,2.3452239929797543,0
1747066125.6590688,2.3452239929797543,1
1747066126.1593242,2.3695561140359587,0
1747066126.6601171,2.3695561140359587,1
1747066127.56129,2.391163788715062,0
1747066128.062135,2.391163788715062,1
1747066128.7626638,2.4103519730165885,0
1747066129.263512,2.4103519730165885,1
1747066130.167508,2.4273914005555355,0
1747066130.6683123,2.4273914005555355,1
1747066131.1685514,2.4425226999420744,0
1747066131.6693854,2.4425226999420744,1
1747066132.5701973,2.45595940714572,0
1747066133.0710366,2.45595940714572,1
1747066133.6714752,2.467891379026046,0
1747066134.186246,2.467891379026046,1
1747066134.8868484,2.478486976935203,0
1747066135.387646,2.478486976935203,1
1747066136.3886132,2.4878959466585195,0
1747066136.8894863,2.4878959466585195,1
1747066137.7904012,2.4962512160126704,0
1747066138.2912438,2.4962512160126704,1
1747066138.8916864,2.503670747319079,0
1747066139.3925202,2.503670747319079,1
1747066140.2933989,2.5102592981056455,0
1747066140.794226,2.5102592981056455,1
1747066141.494803,2.516110016713345,0
1747066141.9956675,2.516110016713345,1
1747066142.6962378,2.5213054785181104,0
1747066143.197061,2.5213054785181104,1
1747066144.2983956,2.525919038506797,0
1747066144.804869,2.525919038506797,1
1747066145.4053624,2.5300159844023242,0
1747066145.906217,2.5300159844023242,1
1747066146.907173,2.533653994016958,0
1747066147.7090263,2.533653994016958,1
1747066148.6802008,2.5368845560218456,0
1747066149.1810288,2.5368845560218456,1
1747066149.681279,2.539753322703916,0
1747066150.182175,2.539753322703916,1
1747066150.8826983,2.5423008823907765,0
1747066151.3835585,2.5423008823907765,1
1747066152.184277,2.5445631456631617,0
1747066152.6850874,2.5445631456631617,1
1747066153.1853194,2.5465720152983167,0
1747066153.686098,2.5465720152983167,1
1747066154.5869372,2.548355840450977,0
1747066155.087741,2.548355840450977,1
1747066155.688115,2.5499398821624393,0
1747066156.1975026,2.5499398821624393,1
1747066158.3266683,2.551346546115094,0
1747066158.8274934,2.551346546115094,1
1747066159.444024,2.552595618218985,0
1747066159.9492497,2.552595618218985,1
