1747067182.0462852,1.0
1747067189.0530457,1.0,1
1747067197.5762432,1.1666666666666667,0
1747067199.0876286,1.1666666666666667,1
1747067201.294322,1.777777804268731,0
1747067202.795337,1.777777804268731,1
1747067204.3958197,2.0000000441515886,0
1747067205.8967578,2.0000000441515886,1
1747067207.5985196,2.2098765520401944,0
1747067209.0995116,2.2098765520401944,1
1747067211.1007326,2.329218074618053,0
1747067212.6016743,2.329218074618053,1
1747067214.1019607,2.4156378656421342,0
1747067215.603323,2.4156378656421342,1
1747067217.7046504,2.470964873823664,0
1747067219.2060115,2.470964873823664,1
1747067220.7063348,2.5086115880122257,0
1747067222.2073247,2.5086115880122257,1
1747067224.2136147,2.5334553415017154,0
1747067225.7145019,2.5334553415017154,1
1747067227.2147577,2.550102541659833,0
1747067228.728522,2.550102541659833,1
1747067230.629461,2.561172428996881,0
1747067232.1303704,2.561172428996881,1
1747067233.9311821,2.5685617735887636,0
1747067235.4320757,2.5685617735887636,1
1747067236.9374535,2.5734848118790343,0
1747067238.4439783,2.5734848118790343,1
1747067240.5362191,2.57676789286959,0
1747067242.0376055,2.57676789286959,1
1747067243.5380101,2.5789562765864127,0
1747067245.0393267,2.5789562765864127,1
1747067246.9453948,2.580415378150264,0
1747067248.4466252,2.580415378150264,1
1747067249.946922,2.581388039766722,0
1747067251.4634595,2.581388039766722,1
1747067253.6910164,2.5820365095731197,0
1747067255.192333,2.5820365095731197,1
1747067256.6926436,2.582468752880778,0
1747067258.1939235,2.582468752880778,1
1747067260.2193723,2.5827569977508276,0
1747067261.7202458,2.5827569977508276,1
1747067263.8228245,2.5829490825886956,0
1747067265.3237207,2.5829490825886956,1
1747067266.8240058,2.583077245465763,0
1747067268.3249087,2.583077245465763,1
1747067270.2310157,2.583162563877585,0
1747067271.731879,2.583162563877585,1
1747067273.332328,2.5832195341048245,0
1747067274.833293,2.5832195341048245,1
1747067276.7377942,2.58325751819404,0
1747067278.2388003,2.58325751819404,1
1747067279.7391024,2.583282815741804,0
1747067281.240022,2.583282815741804,1
1747067283.2410688,2.5832996723808535,0
1747067284.7419884,2.5832996723808535,1
1747067286.2473707,2.5833109338335754,0
1747067287.7585373,2.5833109338335754,1
1747067289.5592844,2.5833183434026954,0
1747067291.0601223,2.5833183434026954,1
1747067292.7608047,2.5833233563905793,0
1747067294.2616663,2.5833233563905793,1
1747067296.067635,2.5833266963165946,0
1747067297.568587,2.5833266963165946,1
1747067299.369359,2.583328922245302,0
1747067300.8702273,2.583328922245302,1
1747067302.8189573,2.583330379477275,0
1747067304.3198223,2.583330379477275,1
1747067305.820106,2.583331421531284,0
1747067307.3210056,2.583331421531284,1
1747067309.2218592,2.583332086774059,0
1747067310.7226872,2.583332086774059,1
1747067312.222962,2.58333246746737,0
