1747067605.8165934,2.0
1747067618.8253827,2.0,1
1747067645.8044317,2.75,0
1747067647.3055432,2.75,1
1747067649.3070822,2.291666656732559,0
1747067650.8084073,2.291666656732559,1
1747067652.709777,2.524305559694767,0
1747067654.2108538,2.524305559694767,1
1747067656.3174417,2.4984664861112833,0
1747067657.8294137,2.4984664861112833,1
1747067659.9308646,2.5462379441596568,0
1747067661.4318955,2.5462379441596568,1
1747067663.6336124,2.5485790368402377,0
1747067665.1347246,2.5485790368402377,1
1747067667.6569138,2.5579625516256783,0
1747067669.558583,2.5579625516256783,1
1747067672.4394937,2.559479270108568,0
1747067673.940498,2.559479270108568,1
1747067675.5410695,2.5613604867776303,0
1747067677.0420525,2.5613604867776303,1
1747067679.652083,2.561835320897899,0
1747067681.1531358,2.561835320897899,1
1747067682.6534884,2.562225528584918,0
1747067684.1545372,2.562225528584918,1
1747067686.1913953,2.5623517503408095,0
1747067687.6924825,2.5623517503408095,1
1747067689.3932185,2.562435221425382,0
1747067690.894398,2.562435221425382,1
1747067693.1012557,2.5624665200093606,0
1747067694.6022623,2.5624665200093606,1
1747067696.1026206,2.5624848946774805,0
1747067697.6037526,2.5624848946774805,1
1747067700.0058734,2.562492468576749,0
1747067701.506762,2.562492468576749,1
1747067703.2114666,2.5624965674234232,0
1747067704.7190497,2.5624965674234232,1
1747067706.6200442,2.5624983669954737,0
1747067708.1210372,2.5624983669954737,1
