1747401039.1424816,0.5
1747401051.1498365,0.5,1
1747401053.352013,1.8333333333333333,0
1747401055.3532412,1.8333333333333333,1
1747401057.654168,1.8333333200878565,0
1747401059.6552792,1.8333333200878565,1
1747401062.1153023,1.9814814549905282,0
1747401064.1164339,1.9814814549905282,1
1747401066.1167338,2.030864166624752,0
1747401068.1178126,2.030864166624752,1
1747401070.426438,2.0637860057775868,0
1747401072.4275804,2.0637860057775868,1
1747401074.427998,2.080246917341308,0
1747401076.4289095,2.080246917341308,1
1747401078.7301085,2.089391864648844,0
1747401080.731504,2.089391864648844,1
1747401082.8322291,2.0942691688111705,0
1747401084.8331988,2.0942691688111705,1
1747401087.2392216,2.0969110768494104,0
1747401089.2435675,2.0969110768494104,1
1747401091.3439925,2.098333638292455,0
1747401093.3448534,2.098333638292455,1
1747401095.5852933,2.0991013187110106,0
1747401097.5861456,2.0991013187110106,1
1747401099.9911723,2.0995152837018067,0
1747401101.9920552,2.0995152837018067,1
1747401104.1926346,2.0997386258833903,0
1747401106.1936736,2.0997386258833903,1
1747401108.3946297,2.0998590085901583,0
1747401110.3955147,2.0998590085901583,1
1747401112.6964195,2.0999239316913076,0
1747401114.697359,2.0999239316913076,1
1747401116.6976426,2.0999590036383133,0
1747401118.707098,2.0999590036383133,1
1747401121.108026,2.099977926317548,0
1747401123.1089244,2.099977926317548,1
1747401125.209381,2.099988128047418,0
1747401127.2102664,2.099988128047418,1
1747401129.5110605,2.0999935949183937,0
1747401131.511912,2.0999935949183937,1
1747401133.5121796,2.0999966093016145,0
1747401135.5130224,2.0999966093016145,1
1747401137.813902,2.0999981704060393,0
1747401139.814803,2.0999981704060393,1
1747401141.9152453,2.0999990086656197,0
1747401143.9160926,2.0999990086656197,1
1747401146.1166928,2.0999994470311996,0
