1747401042.4677398,1.0
1747401049.47463,1.0,1
1747401053.5802987,1.1666666666666667,0
1747401055.581333,1.1666666666666667,1
1747401057.5816488,1.6666666799121435,0
1747401059.582616,1.6666666799121435,1
1747401061.8834834,1.8518518783428053,0
1747401063.8845134,1.8518518783428053,1
1747401066.2934835,1.9691357803933416,0
1747401068.294446,1.9691357803933416,1
1747401070.297818,2.0288066133059592,0
1747401072.3089836,2.0288066133059592,1
1747401074.6097548,2.061728373640032,0
1747401076.6106765,2.061728373640032,1
1747401078.611056,2.0793323965447645,0
1747401080.612059,2.0793323965447645,1
1747401083.01425,2.0888584604388307,0
1747401085.0151663,2.0888584604388307,1
1747401087.0154545,2.0939898010931355,0
1747401089.0163956,2.0939898010931355,1
1747401091.317154,2.0967586675233956,0
1747401093.3179624,2.0967586675233956,1
1747401095.418416,2.0982517612956406,0
1747401097.4193342,2.0982517612956406,1
1747401099.9954405,2.099057098659623,0
1747401101.9964197,2.099057098659623,1
1747401104.1971083,2.099491404305812,0
1747401106.1980324,2.099491404305812,1
1747401108.5989408,2.099725738767424,0
1747401110.5997975,2.099725738767424,1
1747401112.600072,2.099852090280466,0
1747401114.6009443,2.099852090280466,1
1747401116.9018497,2.0999201950766024,0
1747401118.9027824,2.0999201950766024,1
1747401120.9031544,2.0999569633714814,0
1747401122.9041355,2.0999569633714814,1
1747401125.204876,2.0999768488643054,0
1747401127.2058394,2.0999768488643054,1
1747401129.3062809,2.099987609950618,0
1747401131.3072336,2.099987609950618,1
1747401133.6088116,2.099993342746601,0
1747401135.6097028,2.099993342746601,1
1747401137.7101743,2.0999964457714904,0
1747401139.7111738,2.0999964457714904,1
1747401141.91184,2.099998115895998,0
1747401143.9127295,2.099998115895998,1
1747401146.1133647,2.0999989904956062,0
