1746807892.1278434,3.0
1746807899.1348484,3.0,1
1746807899.3366964,2.8333333333333335,0
1746807899.4371045,2.8333333333333335,1
1746807899.6382747,2.861111111111111,0
1746807899.7388482,2.861111111111111,1
1746807899.9448256,2.8564813755176686,0
1746807900.1454685,2.8564813755176686,1
1746807900.3465366,2.857253015777211,0
1746807900.4469082,2.857253015777211,1
1746807900.8477256,2.8571244679360723,0
1746807900.9481,2.8571244679360723,1
1746807901.1526048,2.857145832726331,0
1746807901.2529457,2.857145832726331,1
1746807901.554104,2.857142304959884,0
1746807901.6544976,2.857142304959884,1
1746807901.9608722,2.857142877440648,0
1746807902.0612547,2.857142877440648,1
1746807902.2622623,2.8571427503761306,0
1746807902.4627724,2.8571427503761306,1
1746807902.6638727,2.857142866967011,0
1746807902.7642434,2.857142866967011,1
1746807902.9652245,2.8571427468849184,0
1746807903.0655794,2.8571427468849184,1
1746807903.3667514,2.8571428658032736,0
1746807903.5672722,2.8571428658032736,1
1746807903.6681185,2.857142746497006,0
1746807904.0740874,2.857142746497006,1
1746807904.2749999,2.8571428656739695,0
1746807904.3753512,2.8571428656739695,1
1746807904.5763123,2.8571427464539045,0
1746807904.6767263,2.8571427464539045,1
1746807904.977873,2.8571428656596023,0
1746807905.078227,2.8571428656596023,1
1746807905.3662326,2.8571427464491155,0
1746807905.4665768,2.8571427464491155,1
1746807905.6675534,2.857142865658006,0
1746807905.767999,2.857142865658006,1
1746807905.9713445,2.857142746448583,0
1746807906.0716884,2.857142746448583,1
1746807906.2726822,2.857142865657828,0
1746807906.5785034,2.857142865657828,1
1746807906.780611,2.857142746448524,0
1746807906.880962,2.857142746448524,1
1746807907.0819478,2.857142786184949,0
1746807907.182301,2.857142786184949,1
1746807907.3832753,2.857142799430424,0
1746807907.4836411,2.857142799430424,1
1746807907.784807,2.8571427243727228,0
1746807907.8955166,2.8571427243727228,1
1746807908.1017075,2.857142778826349,0
1746807908.2020843,2.857142778826349,1
1746807908.403074,2.8571427175046975,0
1746807908.5034218,2.8571427175046975,1
1746807908.7044888,2.857142697064147,0
1746807908.8048563,2.857142697064147,1
1746807909.0058262,2.85714269025063,0
1746807909.1061702,2.85714269025063,1
1746807909.3072014,2.857142687979458,0
1746807909.5077212,2.857142687979458,1
1746807909.7087674,2.857142687222401,0
1746807909.9106264,2.857142687222401,1
1746807910.2856512,2.8571426869700485,0
1746807910.385977,2.8571426869700485,1
1746807910.6906612,2.857142686885931,0
1746807910.7909787,2.857142686885931,1
1746807910.8918161,2.8571426868578915,0
1746807911.0923138,2.8571426868578915,1
1746807911.2983727,2.857142686848545,0
1746807911.398812,2.857142686848545,1
1746807911.6999633,2.85714268684543,0
1746807911.800404,2.85714268684543,1
1746807912.2018416,2.857142686844391,0
1746807912.3021913,2.857142686844391,1
1746807912.5031612,2.857142686844045,0
1746807912.7037334,2.857142686844045,1
1746807913.004849,2.8571426868439294,0
1746807913.3106594,2.8571426868439294,1
1746807913.5166206,2.857142686843891,0
1746807913.7171297,2.857142686843891,1
1746807913.9180994,2.8571426868438787,0
1746807914.1187522,2.8571426868438787,1
1746807914.2195375,2.8571426868438743,0
1746807914.620259,2.8571426868438743,1
1746807914.9051046,2.8571426868438725,0
1746807915.00544,2.8571426868438725,1
1746807915.2063713,2.857142686843872,0
1746807915.3098009,2.857142686843872,1
1746807915.521104,2.857142686843872,0
1746807915.6214597,2.857142686843872,1
1746807915.822494,2.857142686843872,0
1746807915.9228568,2.857142686843872,1
1746807916.123873,2.857142686843872,0
1746807916.3243742,2.857142686843872,1
1746807916.425166,2.857142686843872,0
1746807916.7258897,2.857142686843872,1
1746807916.9269314,2.857142686843872,0
1746807917.027282,2.857142686843872,1
1746807917.3283813,2.857142686843872,0
1746807917.4287908,2.857142686843872,1
1746807917.7301733,2.857142686843872,0
1746807917.8305693,2.857142686843872,1
1746807917.9314609,2.857142686843872,0
1746807918.1423001,2.857142686843872,1
1746807918.4433973,2.857142686843872,0
1746807918.5437434,2.857142686843872,1
1746807918.844873,2.857142686843872,0
1746807918.945233,2.857142686843872,1
1746807919.3464484,2.857142686843872,0
1746807919.4468741,2.857142686843872,1
1746807919.5477087,2.857142686843872,0
1746807919.8483636,2.857142686843872,1
1746807920.054489,2.857142686843872,0
1746807920.205824,2.857142686843872,1
1746807920.4067895,2.857142686843872,0
1746807920.5071251,2.857142686843872,1
1746807920.8111212,2.857142686843872,0
1746807920.9114575,2.857142686843872,1
1746807921.1124535,2.857142686843872,0
1746807921.212802,2.857142686843872,1
1746807921.4188714,2.857142686843872,0
1746807921.6194074,2.857142686843872,1
1746807921.8204064,2.857142686843872,0
1746807921.9207582,2.857142686843872,1
1746807922.1217918,2.857142686843872,0
1746807922.2221773,2.857142686843872,1
1746807922.3229885,2.857142686843872,0
1746807922.623599,2.857142686843872,1
1746807922.8246193,2.857142686843872,0
1746807923.0251231,2.857142686843872,1
1746807923.1259143,2.857142686843872,0
1746807923.3263972,2.857142686843872,1
1746807923.6326153,2.857142686843872,0
1746807923.7331645,2.857142686843872,1
1746807923.934233,2.857142686843872,0
1746807924.2349336,2.857142686843872,1
1746807924.4358244,2.857142686843872,0
1746807924.536172,2.857142686843872,1
1746807924.9119978,2.857142686843872,0
1746807925.0123308,2.857142686843872,1
1746807925.2132869,2.857142686843872,0
1746807925.3136177,2.857142686843872,1
1746807925.5171614,2.857142686843872,0
1746807925.6174629,2.857142686843872,1
1746807925.9186292,2.857142686843872,0
1746807926.0189795,2.857142686843872,1
1746807926.425275,2.857142686843872,0
1746807926.5256248,2.857142686843872,1
1746807926.726622,2.857142686843872,0
1746807926.927243,2.857142686843872,1
1746807927.2283022,2.857142686843872,0
1746807927.4288228,2.857142686843872,1
1746807927.7300115,2.857142686843872,0
1746807927.830382,2.857142686843872,1
1746807928.1417377,2.857142686843872,0
1746807928.4423926,2.857142686843872,1
1746807928.5431683,2.857142686843872,0
1746807928.843877,2.857142686843872,1
1746807929.0448697,2.857142686843872,0
1746807929.2453487,2.857142686843872,1
1746807929.3461337,2.857142686843872,0
1746807929.4464793,2.857142686843872,1
1746807929.822332,2.857142686843872,0
1746807929.9226956,2.857142686843872,1
1746807930.127035,2.857142686843872,0
1746807930.227469,2.857142686843872,1
1746807930.4284945,2.857142686843872,0
1746807930.5288825,2.857142686843872,1
1746807930.8366492,2.857142686843872,0
1746807930.937031,2.857142686843872,1
1746807931.2381296,2.857142686843872,0
1746807931.338472,2.857142686843872,1
1746807931.539511,2.857142686843872,0
1746807931.639882,2.857142686843872,1
1746807931.8408778,2.857142686843872,0
1746807931.9412277,2.857142686843872,1
1746807932.1421652,2.857142686843872,0
1746807932.3427868,2.857142686843872,1
1746807932.4435794,2.857142686843872,0
1746807932.6440597,2.857142686843872,1
1746807932.8552861,2.857142686843872,0
1746807932.955668,2.857142686843872,1
1746807933.1566594,2.857142686843872,0
1746807933.3571515,2.857142686843872,1
1746807933.5581934,2.857142686843872,0
1746807933.6585531,2.857142686843872,1
1746807933.8596194,2.857142686843872,0
1746807933.959976,2.857142686843872,1
1746807934.2611573,2.857142686843872,0
1746807934.361489,2.857142686843872,1
1746807934.6625984,2.857142686843872,0
1746807935.0104525,2.857142686843872,1
1746807935.2113767,2.857142686843872,0
1746807935.3117237,2.857142686843872,1
1746807935.616471,2.857142686843872,0
1746807935.7167892,2.857142686843872,1
1746807936.0179648,2.857142686843872,0
1746807936.118298,2.857142686843872,1
1746807936.3241727,2.857142686843872,0
1746807936.4245417,2.857142686843872,1
1746807936.6255176,2.857142686843872,0
1746807936.7258937,2.857142686843872,1
1746807937.1272397,2.857142686843872,0
1746807937.227586,2.857142686843872,1
1746807937.428535,2.857142686843872,0
1746807937.629163,2.857142686843872,1
1746807937.9303195,2.857142686843872,0
1746807938.0306566,2.857142686843872,1
1746807938.2367527,2.857142686843872,0
1746807938.3371227,2.857142686843872,1
1746807938.5380661,2.857142686843872,0
1746807938.6384149,2.857142686843872,1
1746807939.039785,2.857142686843872,0
1746807939.1401522,2.857142686843872,1
1746807939.3411107,2.857142686843872,0
1746807939.4414651,2.857142686843872,1
1746807939.7272081,2.857142686843872,0
1746807939.8275585,2.857142686843872,1
1746807940.2322295,2.857142686843872,0
1746807940.332539,2.857142686843872,1
1746807940.5334995,2.857142686843872,0
1746807940.6338322,2.857142686843872,1
1746807940.8348098,2.857142686843872,0
1746807940.9403815,2.857142686843872,1
1746807941.141467,2.857142686843872,0
1746807941.2418146,2.857142686843872,1
1746807941.4427958,2.857142686843872,0
1746807941.5431616,2.857142686843872,1
1746807941.8445601,2.857142686843872,0
1746807941.9449005,2.857142686843872,1
1746807942.2460124,2.857142686843872,0
1746807942.3463697,2.857142686843872,1
1746807942.5473948,2.857142686843872,0
1746807942.7478948,2.857142686843872,1
1746807942.9622808,2.857142686843872,0
1746807943.062586,2.857142686843872,1
1746807943.2635603,2.857142686843872,0
1746807943.4640539,2.857142686843872,1
1746807943.6651435,2.857142686843872,0
1746807943.8656862,2.857142686843872,1
1746807944.0666668,2.857142686843872,0
1746807944.445871,2.857142686843872,1
1746807944.6467764,2.857142686843872,0
1746807944.847257,2.857142686843872,1
1746807945.1520176,2.857142686843872,0
1746807945.2523844,2.857142686843872,1
1746807945.4535728,2.857142686843872,0
1746807945.5539336,2.857142686843872,1
1746807945.760257,2.857142686843872,0
1746807945.8606036,2.857142686843872,1
1746807946.0618334,2.857142686843872,0
1746807946.1622028,2.857142686843872,1
1746807946.3633792,2.857142686843872,0
1746807946.5638895,2.857142686843872,1
1746807946.7648737,2.857142686843872,0
1746807946.8652315,2.857142686843872,1
1746807947.1664352,2.857142686843872,0
1746807947.2667959,2.857142686843872,1
